dataset,init_idx,molecule,from_train_or_test
Solvated Amino Acids,36536,O2SC2N2C6H16OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,25221,O2C8N2C4H16OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,14541,O2SC2N2C4H12OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,49164,O4C3N2C4H12OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,10838,O2C2N2C4H12OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,20115,O2C2N3C7H19OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,7124,O4C3N2C5H14OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,44537,O2C2N2C3H10OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,48992,O2C2N2C7H18OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,19258,O3C2N2C5H14OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,13859,O3C3N3C5H15OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,35284,O2C10N3C4H17OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,7806,O3C8N2C4H16OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,test
Solvated Amino Acids,4688,O2C2N2C6H14OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,train
Solvated Amino Acids,25598,O3C3N3C4H13OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2OH2,train
