
Host: vox

Timers On : Fri Sep  6 04:54:57 2024
Timers Off: Fri Sep  6 04:57:14 2024

Wall Time:      136.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      1.050u      0.050s      0.652w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      0.133u      0.033s      0.111w      1 calls
| JKGrad: ABx                       :      0.150u      0.017s      0.095w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     10.850u      0.217s      6.645w      1 calls
| | Libint2ERI::Libint2ERI          :      0.100u      0.000s      0.055w      1 calls
Grad: XC                            :      9.283u      0.017s      5.586w      1 calls
| Properties                        :      6.383u      0.017s      3.807w   3229 calls
| Functional                        :      0.400u      0.000s      0.264w   3229 calls
| V_xc gradient                     :      2.500u      0.000s      1.505w   3229 calls

**************************************************************************************
